(1:10.0,(2:4.0,(3:0.6,((4:0.079)#H1:0.22028976972546477::0.9167804732935938,(5:0.158,#H1:0.079::0.0832195267064062):0.14128976972546478):0.3007102302745352):3.4):6.0); right taxa and direction

(1:10.0,(2:4.0009999999999994,(3:0.6,((4:0.077)#H1:0.22012683368191543::0.9270509831248422,(5:0.154,#H1:0.077::0.07294901687515776):0.14312683368191545):0.30287316631808453):3.4009999999999994):5.9990000000000006); right taxa and direction

(1:10.001,(2:4.0,(3:0.6,((4:0.0755)#H1:0.22598997372157997::0.8819660112501051,(5:0.151,#H1:0.0755::0.1180339887498949):0.15048997372158):0.29851002627842):3.4):6.0009999999999994); right taxa and direction

((2:4.0,(3:0.6,((4:0.076)#H1:0.222287449710924::0.9097250902761891,(5:0.152,#H1:0.076::0.09027490972381091):0.14628744971092403):0.30171255028907595):3.4):6.0,1:10.0); right taxa and direction

(1:10.001,(2:4.0,(3:0.6,((4:0.076)#H1:0.22267725139142325::0.8658701111784548,(5:0.152,#H1:0.076::0.13412988882154514):0.14667725139142326):0.3013227486085767):3.4):6.0009999999999994); right taxa and direction

(1:10.001000000000001,(2:4.0,(3:0.6,((5:0.075)#H1:0.22359706683052155::0.9270509831248422,(4:0.15,#H1:0.075::0.07294901687515776):0.14859706683052157):0.3014029331694784):3.4):6.001000000000001); right taxa, wrong direction

((2:4.0,(3:0.6,((5:0.0755)#H1:0.22273699081274484::0.9148253878476749,(4:0.151,#H1:0.0755::0.08517461215232515):0.14723699081274486):0.3017630091872551):3.4):6.0,1:10.0); right taxa, wrong direction

(1:10.0,(2:4.0,(3:0.6,((4:0.076)#H1:0.22482494434178535::0.9004075386473871,(5:0.152,#H1:0.076::0.09959246135261285):0.14882494434178536):0.2991750556582146):3.4):6.0); right taxa and direction

(1:10.0,((3:0.6,((4:0.084)#H1:0.21134095571411116::0.9159835443622477,(5:0.168,#H1:0.084::0.08401645563775229):0.12734095571411116):0.3046590442858888):3.4009999999999994,2:4.0009999999999994):5.9990000000000006); right taxa and direction

(1:10.0,(2:4.0,(3:0.6,((5:0.081)#H1:0.21634944353622698::0.9070869274303903,(4:0.162,#H1:0.081::0.09291307256960973):0.135349443536227):0.302650556463773):3.4):6.0); right taxa, wrong direction

((2:4.0,(3:0.6,((4:0.0755)#H1:0.22411021438373008::0.8966129274440989,(5:0.151,#H1:0.0755::0.10338707255590107):0.1486102143837301):0.3003897856162699):3.4):6.0,1:10.0); right taxa and direction

